Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,CJ Abrams*,21,TOT,NL,71,233,216,26,51,8,1,2,17,3,4,5,42,0.236,0.277,0.31,0.587,70,67,4,8,2,2,0,64/H9D,abramcj01
2,CJ Abrams*,21,SDP,NL,46,139,125,16,29,5,0,2,11,1,2,4,27,0.232,0.285,0.32,0.605,75,40,4,6,2,2,0,64/H9D,abramcj01
3,CJ Abrams*,21,WSN,NL,25,94,91,10,22,3,1,0,6,2,2,1,15,0.242,0.266,0.297,0.563,63,27,0,2,0,0,0,6/H,abramcj01
4,Albert Abreu,26,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,abreual01
5,Albert Abreu,26,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,abreual01
6,José Abreu,35,CHW,AL,140,607,536,79,167,33,0,15,67,0,0,58,100,0.312,0.386,0.457,0.843,138,245,15,9,0,4,2,*3D,abreujo02
7,Ronald Acuna Jr.,24,ATL,NL,103,466,406,62,110,21,0,11,39,28,10,47,110,0.271,0.358,0.404,0.762,112,164,6,10,0,3,2,9D/H8,acunaro01
8,Willy Adames,26,MIL,NL,120,530,482,75,113,26,0,28,85,5,2,43,140,0.234,0.296,0.463,0.759,111,223,11,1,0,4,2,*6/DH,adamewi01
9,Riley Adams,26,WSN,NL,35,112,102,10,19,2,0,3,6,0,1,9,31,0.186,0.259,0.294,0.553,60,30,1,1,0,0,0,2/HD3,adamsri03
10,Jo Adell,23,LAA,AL,73,239,224,19,49,10,1,7,21,4,2,10,87,0.219,0.261,0.366,0.627,76,82,6,3,0,1,0,79H/D,adelljo01
11,Ehire Adrianza#,32,TOT,NL,36,105,92,8,16,3,0,0,7,1,0,11,24,0.174,0.267,0.207,0.473,40,19,2,1,0,1,0,5/74H6D1,adriaeh01
